category,name,price,description,image,Category
Power Supply Units,Tripp Lite ProtectIT 7 Outlets 120V Surge Suppressor,63.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10432/10432705.jpg,Power Supply Units
Power Supply Units,Corsair HXi 1000-Watt ATX Modular Power Supply,348.99,"Fully modular design lets you simply connect the cables for quick and neat installation1000W reliable power unit generates and supplies consistent power to all graphics cards, processors, and moreATX form factor seamlessly integrates into most cabinets to offer long-lasting performance140mm Fluid Dynamic Bearing (FDC) fan minimizes noise for quiet and peaceful operationResonant LLC topology and DC-to-DC conversion provides continuous power with low coil whine for silent operation105-degree Celsius rated, 100% industrial-grade Japanese capacitors produce constant power supply needed for your PCWorks with Modern Standby sleep mode for quick wake-up time from sleep and low load efficiencyZero RPM fan mode turns the fan off when running at low or medium loads for noiseless operationTriple HXi Series EPS12V connectors are compatible with latest motherboardsCORSAIR iCUE software lets you easily alter and monitor power settings, enable custom fan curves, and shift between single to multi-rail overcurrent protection (OCP) for hassle-free operation80 PLUS Platinum certified for low power consumption, less noise, and cool temperatures with efficiency of up to 92%",https://multimedia.bbycastatic.ca/multimedia/products/500x500/163/16355/16355812.jpg,Power Supply Units
Power Supply Units,TRIPP LITE UPS 900VA 475W BATTERY BACK UP TOWER ,227,LCD AVR 120V USB 900VA/475W 3 MINUTE FULL LOAD 4 X NEMA 5-15R BATTERY/SU,https://multimedia.bbycastatic.ca/multimedia/products/500x500/122/12295/12295086.jpg,Power Supply Units
Power Supply Units,Corsair CX-M 650-Watt ATX Semi-Modular Power Supply,104.99,Semi-modular power supply includes some fixed power cables and some detachable power cables650W power supply is reliable and ensures every component gets adequate power for maximum performanceATX form factor fits snugly into ATX casesClean and steady DC-DC conversion with a +3.3V rail and +5V railCompact size is just 140mm long which works really well in terms of space-saving105-degrees C rated Japanese electrical components are capable of superb performance and years of reliability120mm rifle-bearing fan offers a longer life and ensures low noise output80 PLUS Bronze Certification means this power supply has an energy efficiency of up to 85%,https://multimedia.bbycastatic.ca/multimedia/products/500x500/159/15950/15950135.jpg,Power Supply Units
Power Supply Units,APC by Schneider Electric Smart-UPS 500VA Rack-mountable UPS SCL500RM1UNC,1370.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/153/15374/15374340.jpg,Power Supply Units
Power Supply Units,"APC Back-UPS Pro BR 1000VA Battery Backup - SineWave,-10Outlets-2 USB Charging Ports-AVR-LCD int (BR1000MS)",235.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/123/12393/12393596.jpeg,Power Supply Units
Power Supply Units,Thermaltake Smart 500-Watt Non-Modular Power Supply,69.99,Delivers 500W of continuous output in an operating environment at 40 degrees Celsius to ensure optimal performanceSingle +12V rail design with top-quality components provides stable and reliable performance120mm cooling fan ensures efficient air flow that dissipates the heat and ensures smooth performance at very low noise levels80 PLUS certification provides 86% efficiency for an energy-efficient experienceIntel C6/C7 power states also help conserve energy,https://multimedia.bbycastatic.ca/multimedia/products/500x500/148/14870/14870095.jpg,Power Supply Units
Power Supply Units,ROG STRIX 850G Fully Modular Power Supply 850W,171.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/149/14993/14993719.jpg,Power Supply Units
Power Supply Units,Corsair CX RGB White 750-Watt ATX Modular Power Supply,144.99,"Fully modular design lets you only connect the cables that your system requires750-watt power supply comes in effective for medium gamers who possess a mid-range video cardATX form factor permits simultaneous power supply to all the motherboard components while ensuring durable performanceSpecially-designed optimized fan curve brings the noise levels downRGB lighting with ten preset lighting modes for 8 individually addressable RGB LEDs built into a 120mm RGB fan can be customized with a push of a buttonAdvanced RGB lighting control can be achieved by connecting to a CORSAIR iCUE RGB Lighting Controller or motherboard with suitable 5V ARGB header (sold separately)105 degrees Celsius rated Japanese primary electrolytic capacitors produce consistent, dependable power and top-notch electrical performanceAssists Modern Standby sleep mode for superfast wake-from-sleep times and improved load efficiencySmall 140mm-long casing offers an easy fit in almost all new PC cases80 PLUS Bronze certification means up to 88% operational efficiency, lesser heat generation, and lower energy costs",https://multimedia.bbycastatic.ca/multimedia/products/500x500/153/15397/15397404.jpg,Power Supply Units
Power Supply Units,Corsair CX-M 750-Watt ATX Semi-Modular Power Supply,119.99,Semi-modular power supply with dual EPS12V connection lets you connect only the cables you need and spares you wiry clutter750W power supply is more than enough to run all kinds of high-end configurations with power-hungry hardwareCompact design with 140mm length and ATX form factor for compatibility with ATX cabinetsClean and steady DC to DC conversion ensures clean and uninterrupted power supply to every component120mm rifle-bearing blower ensures heat dissipation with low noise output80 PLUS Bronze Certification signifies up to 85% efficiency in power usage and reduced heat,https://multimedia.bbycastatic.ca/multimedia/products/500x500/159/15950/15950137.jpg,Power Supply Units
Power Supply Units,Thermaltake Smart 700-Watt Non-Modular Power Supply,89.99,Delivers 700W of continuous output in an operating environment at 40 degrees Celsius to ensure optimal performanceSingle +12V rail design with top-quality components provides stable and reliable performance120mm cooling fan ensures efficient air flow that dissipates the heat and ensures smooth performance at very low noise levels80 PLUS certification provides 86% efficiency for an energy-efficient experienceIntel C6/C7 power states also help conserve energy,https://multimedia.bbycastatic.ca/multimedia/products/500x500/148/14870/14870096.jpg,Power Supply Units
Power Supply Units,Lenovo 65w USB Type-C AC Adapter (AC Power Cord Included),59.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/159/15982/15982597.jpeg,Power Supply Units
Power Supply Units,Corsair HXi 1500-Watt ATX Modular Power Supply,529.99,"Fully modular design upgrades your PC effectively with easy-to connect cables for simple and easy installation1500W consistent power flow to keep up with your intensive games and demanding workflowATX form factor offers durable performance and effortlessly fits into most cabinets140mm Fluid Dynamic Bearing fan (FDB) generates very low noise for quiet performanceResonant LLC topology with DC-to-DC conversion offers standard power while reducing coil whine for steady and quiet operation105-degree Celsius rated, 100% industrial-grade Japanese capacitors deliver consistent power with incredible performanceAssists Modern Standby sleep mode for speedy wake-from-sleep times and enhanced load efficiencyZero RPM fan mode enables silent operation at low to medium loadsTriple HXi Series EPS12V connectors are designed to work well with latest motherboardsCORSAIR iCUE software lets you monitor power settings, enable custom fan curves, and switch between single to multi-rail overcurrent protection (OCP) in a snap80 PLUS Platinum certification ensures up to 92% efficiency for low power consumption, less noise and maintaining optimum temperatures",https://multimedia.bbycastatic.ca/multimedia/products/500x500/163/16355/16355813.jpg,Power Supply Units
Power Supply Units,Corsair RM750x 750-Watt (80 PLUS Gold) Fully Modular ATX Power Supply,149.99,"Fully modular design enables easy connectivity with the cables of your system's hardware750W power supply unit keeps your mid-range PC running efficiently for smooth gaming and multitasking workflowsATX form factor is compact for easy installation in advanced ATX CPU cabinets135mm magnetic levitation bearing fan featuring custom engineered rotors to generate less noise and reliable performanceResonant LLC topology with DC-to-DC conversion minimizes coil whine to ensure quiet operation, delivers consistent power supply, and makes use of sleep states efficiently100% industrial-grade Japanese capacitors with 105-degree Celsius rating offer long-lasting reliability with steady power delivery even at high loadsModern Standby sleep mode support for quick wake-from-sleep times and improved low-load efficiencyZero RPM fan mode operates the PC with virtually no noise during low to medium loadsDual EPS12v connectors offer compatibility with a wide range of modern graphics cards and motherboards80 Plus Gold certified energy efficiency means the PSU delivers reliable power to your PC with less power consumption, reduced heat generation, and low noise levels",https://multimedia.bbycastatic.ca/multimedia/products/500x500/153/15397/15397407.jpg,Power Supply Units
Power Supply Units,Corsair RM 850-Watt ATX Modular Power Supply,179.99,"Completely modular power supply lets you connect only the cables you need for a neat and tidy interior850W power supply with triple EPS12V connectors can supply reliable power to all the latest graphic cards, processors, and other performance hardware140mm rifle-bearing fan is fine tuned to keep noise minimum even when running at full loadZero RPM Fan Mode turns the fan off when running at low or medium loads for almost noiseless operationCompatible with Modern Standby for low-load efficiency and quick wake-up time from sleepResonant LLC Topology supplies clean and steady power with low coil whining and executes energy efficient sleep states105-degrees C rated capacitors are industrial grade and capable of powerful electrical performance and long-term reliability80 PLUS GOLD certification means this power supply boasts up to 90% efficiency in power consumption which means less power is wasted",https://multimedia.bbycastatic.ca/multimedia/products/500x500/159/15950/15950136.jpg,Power Supply Units
Power Supply Units,Corsair RM 1000-Watt ATX Modular Power Supply,269.99,"Fully modular design lets you only connect the cables that your system requires1000-watt power supply suits high-level computer enthusiasts who demand more powerATX form factor permits simultaneous power supply to all the motherboard components while ensuring durable performance135mm ML fan with a magnetic levitation bearing and custom engineered rotors offer increased performance, low noise, and greater reliabilityResonant LLC topology with DC-to-DC conversion ensures clean and consistent power while lessening coil whine for hush operation, and also facilitates use of more energy efficient sleep statesReliable 105degrees Celsius rated, 100% industrial-grade Japanese capacitors produce constant power supplyAssists Modern Standby sleep mode for superfast wake-from-sleep times and improved load efficiencyZero RPM fan mode provides almost-near silent operation at low to medium loadsTwo EPS12V connectors permit new graphic cards and motherboards80 PLUS Gold certified efficiency makes it low on power consumption and noise while offering cooler temperatures",https://multimedia.bbycastatic.ca/multimedia/products/500x500/153/15397/15397406.jpg,Power Supply Units
Motherboards,Asus ROG Strix X570-E Gaming Desktop Motherboard - AMD Chipset - Socket AM4 - ATX,481.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/157/15765/15765965.jpeg,Motherboards
Motherboards,MSI B550M PRO-VDH WIFI Micro-ATX LGA AM4 Motherboard,159.99,"Socket LGA AM4 allows you to utilize the potentials of Ryzen 5000, 3000, and 4000 G-series processorsMicro-ATX form factor offers plenty of space to plug in your hardware componentsFour dual-channel memory slots let you handle DDR4 memory modules with speeds up to 4400 MHzOn-board Wi-Fi 5 (802.11ac) and RJ45 port offer both wireless and wired connectivity optionsOne PCIe 4.0 x16 and two PCIe 3.0 x1 slots let you install graphics, sound, and networking cardsFour SATA III and two M.2 ports let you connect to a multitude of hard drives for superior program loading and improved overall performanceIntegrated 7.1-channel high-definition audio delivers clear, crisp, and immersive audio experienceCompatible only with Windows 10 (64-bit) operating systems",https://multimedia.bbycastatic.ca/multimedia/products/500x500/157/15799/15799610.jpg,Motherboards
Motherboards,Gigabyte Motherboard B450 AORUS PRO WIFI AM4 AMD Ryzen B450 64GB DDR4 ATX Retail (B450 AORUS PRO WIFI),217,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/129/12908/12908721.jpeg,Motherboards
Motherboards,MSI PRO X670-P WIFI AM5 ATX Motherboard,399.99,"AM5 CPU socket lets you extract the full potential of AMD Ryzen 7000 Series desktop processorsATX form factor features a spacious layout which makes switching and installing hardware components simple and easySupports up to 128GB of DDR5 RAM with 4 memory slots having dual-channel architectureSupports overclocking the RAM to gain some extra performance when handling heavy duty operationsPCIe 5.0 x16 graphics card slot provides higher data throughput that significantly speeds up graphic processing speedsFour M.2 slots let you expand your storage capacity to immense proportionsTwo PCIe x16 slots and 1 PCIe 3.0 x1 slot for installing soundcards and other PCI-based hardwareIntegrated Realtek 8125BG Gigabit Ethernet port and AMD RZ616 Wi-Fi 6E provide blistering-fast speeds with low latency over wired and wireless networksDisplayPort output provided for connecting to monitors, TVs, and other video devicesFour USB 3.1 ports, 1 USB 3.1/3.2 Gen 2 port, and 1 USB-C port provide comprehensive connectivity for plugging several devices and accessoriesSix SATA III 6GB/s ports let you further expand your storage options with SATA hard drives and SATA solid state drives",https://multimedia.bbycastatic.ca/multimedia/products/500x500/164/16480/16480086.jpg,Motherboards
Motherboards,ASUS ROG Strix B450-F Gaming II ATX AM4 Motherboard,174.99,"AM4 socket is compatible with first, second, and third generation AMD RyzenCPUs as well as first and second generation AMD Ryzen with Radeon Vega GPUsATX form factor is ideal for gaming and offers lots of space for plugging in hardware componentsConnectivity includes dual M.2 slots for NVMe SSDs and 16 slots of 2 x PCIe 3.0 for connecting high speed storage devices and other peripheralsFour dual channel DDR4 RAM slots support up to 128GB memoryCrossFireX ready motherboard lets you combine multiple GPUs for increased performanceHDMI 2.0b port and DisplayPort 1.2 for connecting monitors and display devices capable of 4K resolution at 60HzUSB 3.2 Gen 2 Type-A port, USB 3.1 Gen 2 Type-A port, and Type-C ports for plugging in smartphones, external storage media, and other devicesSupremeFX S1220A codec with DTS Sound Unbound and Sonic Studio III generates rich and clear audio to give you an immersive gaming actionASUS AI Noise Cancelling Mic technology ensures your voice chats are more clear and crispExtended VRM and PCH heatsinks, M.2 heatsinks, additional hybrid headers for fans, and Fan Xpert utility for controlling fan speed help maintain optimal temperatures, even during long hours of gamingASUS-exclusive Aura Sync RGB lighting with Armoury Crate utility come with 2RGB headers and a Gen 2 addressable RGB header for hassle-free personalization of the lighting effectsBIOS FlashBack and ASUS exclusive UEFI BIOS along with 256Mb BIOS Flash ROM and Pre-mount I/O shroud allow easy update to the latest versions, so your gaming performance is not hindered",https://multimedia.bbycastatic.ca/multimedia/products/500x500/153/15397/15397881.jpg,Motherboards
Motherboards,ASUS AM4 TUF Gaming X570-Plus ATX motherboard,288.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/138/13818/13818980.jpg,Motherboards
Motherboards,Asus Prime PRIME A320M-K Desktop Motherboard - AMD A320 Chipset - Socket AM4,93.99,null,https://multimedia.bbycastatic.ca/multimedia/products/500x500/125/12552/12552900.jpg,Motherboards
